session_date,entry_time,exit_time,side,entry_price,exit_price,exit_reason,pnl,level_date,cum_pnl
2022-09-15,2022-09-15 09:31:00-04:00,2022-09-15 10:28:00-04:00,long,12122.82003138804,12122.82003138804,BE,0.0,2022-09-02,-4592.14
2022-09-16,2022-09-16 09:40:00-04:00,2022-09-16 10:29:00-04:00,long,11841.776479599794,11841.776479599794,BE,0.0,2022-09-07,-4592.14
2022-09-19,2022-09-19 09:46:00-04:00,2022-09-19 15:00:00-04:00,long,11913.313166161024,11946.25,cutoff,32.94,2022-09-15,-4559.2
2022-09-20,2022-09-20 09:31:00-04:00,2022-09-20 15:00:00-04:00,long,11913.313166161024,11906.25,cutoff,-7.06,2022-09-15,-4566.26
2022-09-21,2022-09-21 09:34:00-04:00,2022-09-21 10:48:00-04:00,long,11943.492632717136,11943.492632717136,BE,0.0,2022-09-05,-4566.26
2022-09-22,2022-09-22 09:37:00-04:00,2022-09-22 11:20:00-04:00,long,11635.459348674045,11525.459348674045,SL,-110.0,2022-09-16,-4676.26
2022-09-23,2022-09-23 09:39:00-04:00,2022-09-23 14:11:00-04:00,long,11406.62824728022,11296.62824728022,SL,-110.0,2022-09-22,-4786.26
2022-09-27,2022-09-27 10:09:00-04:00,2022-09-27 11:23:00-04:00,long,11406.62824728022,11406.62824728022,BE,0.0,2022-09-22,-4786.26
2022-09-28,2022-09-28 10:30:00-04:00,2022-09-28 11:15:00-04:00,long,11406.62824728022,11406.62824728022,BE,0.0,2022-09-22,-4786.26
2022-09-29,2022-09-29 10:03:00-04:00,2022-09-29 14:18:00-04:00,long,11205.345983893674,11095.345983893674,SL,-110.0,2022-09-27,-4896.26
2022-09-30,2022-09-30 09:31:00-04:00,2022-09-30 10:17:00-04:00,long,11200.453623716281,11200.453623716281,BE,0.0,2022-09-23,-4896.26
2022-10-03,2022-10-03 09:31:00-04:00,2022-10-03 15:00:00-04:00,long,11109.481280546639,11343.0,cutoff,233.52,2022-09-26,-4662.74
2022-10-04,2022-10-04 09:49:00-04:00,2022-10-04 15:00:00-04:00,short,11592.732172153286,11636.5,cutoff,-43.77,2022-09-28,-4706.51
2022-10-05,2022-10-05 10:03:00-04:00,2022-10-05 11:36:00-04:00,short,11443.811619535041,11443.811619535041,BE,0.0,2022-09-30,-4706.51
2022-10-06,2022-10-06 09:32:00-04:00,2022-10-06 15:00:00-04:00,long,11620.722659826417,11556.5,cutoff,-64.22,2022-09-19,-4770.73
2022-10-07,2022-10-07 09:31:00-04:00,2022-10-07 10:02:00-04:00,long,11320.090857567091,11210.090857567091,SL,-110.0,2022-10-06,-4880.73
2022-10-10,2022-10-10 09:31:00-04:00,2022-10-10 10:00:00-04:00,long,11109.481280546639,10999.481280546639,SL,-110.0,2022-09-26,-4990.73
2022-10-11,2022-10-11 09:56:00-04:00,2022-10-11 14:55:00-04:00,long,10839.30938560433,10839.30938560433,BE,0.0,2022-10-03,-4990.73
2022-10-12,2022-10-12 09:31:00-04:00,2022-10-12 10:16:00-04:00,long,10839.30938560433,10839.30938560433,BE,0.0,2022-10-03,-4990.73
2022-10-12,2022-10-12 10:17:00-04:00,2022-10-12 15:00:00-04:00,long,10828.911918928978,10857.0,cutoff,28.09,2022-10-10,-4962.64
2022-10-13,2022-10-13 09:53:00-04:00,2022-10-13 11:16:00-04:00,long,10612.661745419522,10800.0,TP,187.34,2022-10-12,-4775.3
2022-10-14,2022-10-14 09:34:00-04:00,2022-10-14 10:00:00-04:00,long,11109.481280546639,10999.481280546639,SL,-110.0,2022-09-26,-4885.3
2022-10-17,2022-10-17 09:37:00-04:00,2022-10-17 10:34:00-04:00,long,11076.392827846714,11076.392827846714,BE,0.0,2022-09-28,-4885.3
2022-10-17,2022-10-17 10:51:00-04:00,2022-10-17 15:00:00-04:00,long,11058.028823651668,11113.75,cutoff,55.72,2022-10-07,-4829.58
2022-10-18,2022-10-18 09:31:00-04:00,2022-10-18 09:58:00-04:00,long,11406.62824728022,11296.62824728022,SL,-110.0,2022-09-22,-4939.58
2022-10-19,2022-10-19 09:32:00-04:00,2022-10-19 10:24:00-04:00,short,11160.575769298055,11270.575769298055,SL,-110.0,2022-10-11,-5049.58
2022-10-20,2022-10-20 09:31:00-04:00,2022-10-20 10:06:00-04:00,short,11160.575769298055,11270.575769298055,SL,-110.0,2022-10-11,-5159.58
2022-10-21,2022-10-21 09:31:00-04:00,2022-10-21 12:06:00-04:00,long,11007.926225819625,11221.75,TP,213.82,2022-09-29,-4945.76
2022-10-24,2022-10-24 09:32:00-04:00,2022-10-24 10:24:00-04:00,long,11320.090857567091,11210.090857567091,SL,-110.0,2022-10-06,-5055.76
2022-10-25,2022-10-25 09:31:00-04:00,2022-10-25 11:22:00-04:00,short,11564.971176348332,11674.971176348332,SL,-110.0,2022-10-07,-5165.76
2022-10-26,2022-10-26 09:32:00-04:00,2022-10-26 10:37:00-04:00,short,11482.102199235662,11592.102199235662,SL,-110.0,2022-10-20,-5275.76
2022-10-27,2022-10-27 09:32:00-04:00,2022-10-27 10:25:00-04:00,short,11443.811619535041,11443.811619535041,BE,0.0,2022-09-30,-5275.76
2022-10-27,2022-10-27 10:31:00-04:00,2022-10-27 14:24:00-04:00,short,11436.856393169684,11252.75,TP,184.11,2022-10-19,-5091.65
2022-10-28,2022-10-28 09:33:00-04:00,2022-10-28 10:27:00-04:00,short,11282.132898557971,11392.132898557971,SL,-110.0,2022-10-17,-5201.65
2022-10-31,2022-10-31 09:31:00-04:00,2022-10-31 15:00:00-04:00,short,11520.847326126568,11468.5,cutoff,52.35,2022-10-14,-5149.3
2022-11-01,2022-11-01 09:46:00-04:00,2022-11-01 10:58:00-04:00,short,11548.815267270762,11365.0,TP,183.82,2022-10-28,-4965.48
2022-11-02,2022-11-02 09:31:00-04:00,2022-11-02 12:23:00-04:00,long,11320.090857567091,11210.090857567091,SL,-110.0,2022-10-06,-5075.48
2022-11-03,2022-11-03 09:34:00-04:00,2022-11-03 10:00:00-04:00,long,10828.911918928978,10718.911918928978,SL,-110.0,2022-10-10,-5185.48
2022-11-04,2022-11-04 09:32:00-04:00,2022-11-04 09:43:00-04:00,long,10890.143606830316,10780.143606830316,SL,-110.0,2022-10-19,-5295.48
2022-11-07,2022-11-07 09:36:00-05:00,2022-11-07 10:24:00-05:00,long,10890.143606830316,10890.143606830316,BE,0.0,2022-10-19,-5295.48
2022-11-08,2022-11-08 09:33:00-05:00,2022-11-08 13:58:00-05:00,long,11032.598508387524,11032.598508387524,BE,0.0,2022-10-24,-5295.48
2022-11-09,2022-11-09 09:32:00-05:00,2022-11-09 10:33:00-05:00,long,10973.809732729238,10973.809732729238,BE,0.0,2022-10-28,-5295.48
2022-11-10,2022-11-10 09:41:00-05:00,2022-11-10 12:05:00-05:00,long,11295.296535945847,11476.75,TP,181.45,2022-10-25,-5114.03
2022-11-11,2022-11-11 09:45:00-05:00,2022-11-11 10:49:00-05:00,short,11657.433404218707,11767.433404218707,SL,-110.0,2022-10-18,-5224.03
2022-11-14,2022-11-14 09:35:00-05:00,2022-11-14 13:20:00-05:00,short,11747.73290059356,11857.73290059356,SL,-110.0,2022-10-26,-5334.03
2022-11-16,2022-11-16 09:31:00-05:00,2022-11-16 15:00:00-05:00,long,11815.542669975848,11767.25,cutoff,-48.29,2022-11-15,-5382.32
2022-11-17,2022-11-17 09:36:00-05:00,2022-11-17 15:00:00-05:00,long,11592.448534422849,11683.75,cutoff,91.3,2022-11-16,-5291.02
2022-11-18,2022-11-18 09:49:00-05:00,2022-11-18 15:00:00-05:00,short,11747.73290059356,11668.0,cutoff,79.73,2022-10-26,-5211.29
2022-11-21,2022-11-21 09:35:00-05:00,2022-11-21 15:00:00-05:00,short,11642.144347547288,11588.75,cutoff,53.39,2022-11-10,-5157.9
2022-11-22,2022-11-22 09:31:00-05:00,2022-11-22 10:32:00-05:00,long,11592.448534422849,11592.448534422849,BE,0.0,2022-11-16,-5157.9
2022-11-22,2022-11-22 10:49:00-05:00,2022-11-22 11:41:00-05:00,short,11642.144347547288,11642.144347547288,BE,0.0,2022-11-10,-5157.9
2022-11-23,2022-11-23 09:37:00-05:00,2022-11-23 15:00:00-05:00,short,11790.142005674923,11865.0,cutoff,-74.86,2022-11-22,-5232.76
