entry_time,exit_time,side,entry_price,exit_price,exit_reason,pnl,level_id,cum_pnl
2023-04-27 10:34:00-04:00,2023-04-27 12:44:00-04:00,short,13095.741714779244,13169.241714779244,SL,-73.5,1367,3077.39
2023-04-30 22:55:00-04:00,2023-04-30 22:56:00-04:00,short,13337.05750989963,13338.25,cutoff,-1.19,1353,3076.2
2023-05-02 10:36:00-04:00,2023-05-02 15:00:00-04:00,long,13176.138032476792,13205.75,cutoff,29.61,1370,3105.81
2023-05-04 09:44:00-04:00,2023-05-04 11:09:00-04:00,long,13042.435086729922,13101.310086729922,TP,58.88,1369,3164.69
2023-05-05 10:09:00-04:00,2023-05-05 14:52:00-04:00,short,13224.223199417047,13345.723199417047,SL,-121.5,1373,3043.19
2023-05-10 09:32:00-04:00,2023-05-10 15:00:00-04:00,short,13410.064913270078,13394.25,cutoff,15.81,1369,3059.0
2023-05-11 03:46:00-04:00,2023-05-11 04:32:00-04:00,short,13454.855520657635,13454.855520657635,BE,0.0,1371,3059.0
2023-05-24 03:03:00-04:00,2023-05-24 07:10:00-04:00,long,13706.076931880389,13674.951931880389,SL,-31.12,1385,3027.88
2023-05-25 09:06:00-04:00,2023-05-25 09:32:00-04:00,short,13975.37052097448,13904.87052097448,TP,70.5,1386,3098.38
2023-05-26 07:26:00-04:00,2023-05-26 08:30:00-04:00,short,14037.217523662237,14037.217523662237,BE,0.0,1384,3098.38
2023-05-26 10:00:00-04:00,2023-05-26 11:47:00-04:00,short,14124.819324931072,14288.694324931072,SL,-163.88,1388,2934.5
2023-05-30 05:20:00-04:00,2023-05-30 06:14:00-04:00,short,14500.603669049202,14500.603669049202,BE,0.0,1390,2934.5
2023-06-02 05:14:00-04:00,2023-06-02 06:18:00-04:00,short,14550.866559532675,14550.866559532675,BE,0.0,1392,2934.5
2023-06-12 00:00:00-04:00,2023-06-12 00:01:00-04:00,short,14725.630739165332,14745.505739165332,SL,-19.88,1391,2914.62
2023-06-20 01:20:00-04:00,2023-06-20 02:06:00-04:00,long,15222.97180417187,15222.97180417187,BE,0.0,1404,2914.62
2023-06-20 10:30:00-04:00,2023-06-20 15:00:00-04:00,long,15127.861700125628,15248.75,cutoff,120.89,1405,3035.51
2023-06-22 02:13:00-04:00,2023-06-22 03:02:00-04:00,long,14975.540735129565,14975.540735129565,BE,0.0,1406,3035.51
2023-06-30 08:38:00-04:00,2023-06-30 09:24:00-04:00,short,15254.069572783555,15254.069572783555,BE,0.0,1412,3035.51
2023-06-30 09:43:00-04:00,2023-06-30 15:00:00-04:00,short,15290.171958931223,15347.25,cutoff,-57.08,1413,2978.43
2023-07-03 04:11:00-04:00,2023-07-03 06:05:00-04:00,short,15385.778277982936,15358.403277982936,TP,27.38,1407,3005.81
2023-07-06 08:30:00-04:00,2023-07-06 08:41:00-04:00,long,15242.18319312509,15208.43319312509,SL,-33.75,1416,2972.06
2023-07-12 08:30:00-04:00,2023-07-12 08:31:00-04:00,short,15359.868794196565,15407.118794196565,SL,-47.25,1418,2924.81
2023-07-13 00:13:00-04:00,2023-07-13 00:56:00-04:00,short,15527.892235680834,15500.142235680834,TP,27.75,1417,2952.56
2023-07-27 03:49:00-04:00,2023-07-27 05:49:00-04:00,short,15770.652112320444,15808.152112320444,SL,-37.5,1430,2915.06
2023-08-02 02:53:00-04:00,2023-08-02 03:40:00-04:00,long,15680.358069343134,15680.358069343134,BE,0.0,1435,2915.06
2023-08-02 04:02:00-04:00,2023-08-02 07:02:00-04:00,long,15614.468371465435,15710.843371465435,TP,96.38,1436,3011.44
2023-08-02 10:08:00-04:00,2023-08-02 12:12:00-04:00,long,15562.880214080487,15414.380214080487,SL,-148.5,1434,2862.94
2023-08-03 03:31:00-04:00,2023-08-03 04:44:00-04:00,long,15359.097887679556,15359.097887679556,BE,0.0,1430,2862.94
2023-08-08 10:11:00-04:00,2023-08-08 15:00:00-04:00,long,15258.530623284445,15335.5,cutoff,76.97,1422,2939.91
2023-08-11 08:31:00-04:00,2023-08-11 08:49:00-04:00,long,15133.43673161332,15091.43673161332,SL,-42.0,1441,2897.91
2023-08-16 20:19:00-04:00,2023-08-16 20:20:00-04:00,long,14907.749306880967,14908.25,cutoff,0.5,1447,2898.41
2023-08-16 20:39:00-04:00,2023-08-16 20:40:00-04:00,long,14901.54356216347,14901.25,cutoff,-0.29,1444,2898.12
2023-08-21 04:24:00-04:00,2023-08-21 13:26:00-04:00,short,14823.580191280835,14944.330191280835,SL,-120.75,1449,2777.37
2023-08-22 03:44:00-04:00,2023-08-22 07:47:00-04:00,short,15046.702045487342,15102.952045487342,SL,-56.25,1450,2721.12
2023-08-23 10:51:00-04:00,2023-08-23 15:00:00-04:00,short,15178.222756936233,15205.5,cutoff,-27.28,1448,2693.84
2023-08-29 10:00:00-04:00,2023-08-29 11:23:00-04:00,short,15179.062138640245,15351.562138640245,SL,-172.5,1454,2521.34
2023-08-31 08:16:00-04:00,2023-08-31 09:31:00-04:00,short,15532.052676827978,15532.052676827978,BE,0.0,1442,2521.34
2023-08-31 09:45:00-04:00,2023-08-31 15:00:00-04:00,short,15557.31326838668,15553.75,cutoff,3.56,1441,2524.9
2023-09-01 08:32:00-04:00,2023-09-01 08:33:00-04:00,short,15629.551658579476,15594.676658579476,TP,34.88,1440,2559.78
2023-09-05 04:12:00-04:00,2023-09-05 08:39:00-04:00,long,15439.378375806675,15439.378375806675,BE,0.0,1460,2559.78
2023-09-06 10:13:00-04:00,2023-09-06 15:00:00-04:00,long,15389.281890276656,15373.25,cutoff,-16.03,1459,2543.75
2023-09-07 08:14:00-04:00,2023-09-07 08:38:00-04:00,long,15268.239324433607,15211.614324433607,SL,-56.62,1462,2487.13
2023-09-08 09:50:00-04:00,2023-09-08 10:35:00-04:00,short,15365.185919182659,15365.185919182659,BE,0.0,1463,2487.13
2023-09-11 09:33:00-04:00,2023-09-11 09:39:00-04:00,short,15639.465689431374,15590.340689431374,TP,49.12,1461,2536.25
2023-09-13 08:30:00-04:00,2023-09-13 08:37:00-04:00,long,15421.240815329766,15496.240815329766,TP,75.0,1465,2611.25
2023-09-15 10:59:00-04:00,2023-09-15 11:54:00-04:00,long,15426.248171057954,15426.248171057954,BE,0.0,1468,2611.25
2023-09-19 09:50:00-04:00,2023-09-19 10:39:00-04:00,long,15323.86663134196,15255.24163134196,SL,-68.62,1467,2542.63
2023-09-20 20:07:00-04:00,2023-09-20 20:08:00-04:00,long,15106.912083583575,15109.5,cutoff,2.59,1464,2545.22
2023-09-21 06:01:00-04:00,2023-09-21 07:58:00-04:00,long,15034.564080817341,14981.689080817341,SL,-52.88,1463,2492.34
2023-09-25 04:44:00-04:00,2023-09-25 05:02:00-04:00,long,14797.891152351334,14845.891152351334,TP,48.0,1473,2540.34
2023-09-26 10:13:00-04:00,2023-09-26 11:07:00-04:00,long,14756.293148302426,14756.293148302426,BE,0.0,1474,2540.34
2023-09-29 08:30:00-04:00,2023-09-29 09:30:00-04:00,short,15007.11661205743,15007.11661205743,BE,0.0,1476,2540.34
2023-09-29 09:48:00-04:00,2023-09-29 12:48:00-04:00,short,15030.213529050536,14899.713529050536,TP,130.5,1475,2670.84
2023-10-04 02:18:00-04:00,2023-10-04 04:42:00-04:00,long,14608.482636343826,14683.482636343826,TP,75.0,1481,2745.84
2023-10-11 20:06:00-04:00,2023-10-11 20:07:00-04:00,short,15423.339015007881,15423.75,cutoff,-0.41,1486,2745.43
2023-10-19 03:46:00-04:00,2023-10-19 05:32:00-04:00,long,14977.196253654805,15021.446253654805,TP,44.25,1490,2789.68
2023-10-20 02:21:00-04:00,2023-10-20 03:08:00-04:00,long,14811.455813199624,14811.455813199624,BE,0.0,1485,2789.68
2023-10-23 03:43:00-04:00,2023-10-23 04:12:00-04:00,long,14637.371414457424,14664.746414457424,TP,27.38,1483,2817.06
2023-10-23 05:05:00-04:00,2023-10-23 05:33:00-04:00,long,14609.982422914665,14546.982422914665,SL,-63.0,1494,2754.06
2023-10-24 10:38:00-04:00,2023-10-24 12:28:00-04:00,short,14861.637096466304,14742.387096466304,TP,119.25,1495,2873.31
2023-10-25 10:27:00-04:00,2023-10-25 11:42:00-04:00,long,14596.908218834995,14596.908218834995,BE,0.0,1496,2873.31
2023-10-25 19:21:00-04:00,2023-10-25 19:22:00-04:00,long,14341.862903533696,14342.25,cutoff,0.39,1495,2873.7
2023-11-01 10:22:00-04:00,2023-11-01 15:00:00-04:00,short,14601.035061183555,14659.0,cutoff,-57.96,1501,2815.74
2023-11-02 08:30:00-04:00,2023-11-02 09:30:00-04:00,short,14935.534575520875,14935.534575520875,BE,0.0,1497,2815.74
2023-11-03 09:31:00-04:00,2023-11-03 15:00:00-04:00,short,15070.892577085335,15213.75,cutoff,-142.86,1494,2672.88
2023-11-07 09:17:00-05:00,2023-11-07 10:00:00-05:00,short,15268.539634336601,15319.164634336601,SL,-50.62,1504,2622.26
2023-11-14 08:30:00-05:00,2023-11-14 08:31:00-05:00,short,15665.251049723287,15694.876049723287,SL,-29.62,1510,2592.64
2023-11-15 08:25:00-05:00,2023-11-15 08:30:00-05:00,short,15999.786834905073,16035.786834905073,SL,-36.0,1511,2556.64
2023-11-20 09:58:00-05:00,2023-11-20 10:23:00-05:00,short,15994.229960445984,15945.479960445984,TP,48.75,1514,2605.39
2023-11-22 09:36:00-05:00,2023-11-22 09:50:00-05:00,short,16158.55957440403,16118.43457440403,TP,40.12,1516,2645.51
2023-11-26 21:04:00-05:00,2023-11-26 21:05:00-05:00,long,15958.763632343205,15961.5,cutoff,2.74,1518,2648.25
2023-11-29 04:23:00-05:00,2023-11-29 08:30:00-05:00,short,16103.147216602607,16169.147216602607,SL,-66.0,1521,2582.25
2023-11-30 09:42:00-05:00,2023-11-30 10:46:00-05:00,long,15967.453281160262,15893.203281160262,SL,-74.25,1522,2508.0
2023-12-04 09:24:00-05:00,2023-12-04 10:26:00-05:00,long,15854.352783397393,15756.852783397393,SL,-97.5,1521,2410.5
2023-12-06 09:00:00-05:00,2023-12-06 10:25:00-05:00,short,16019.860859026965,15892.735859026965,TP,127.12,1525,2537.62
2023-12-08 10:11:00-05:00,2023-12-08 15:00:00-05:00,short,16085.76333390208,16113.5,cutoff,-27.74,1524,2509.88
2023-12-11 00:00:00-05:00,2023-12-11 00:01:00-05:00,short,16196.902605630494,16212.652605630494,SL,-15.75,1523,2494.13
2023-12-11 19:21:00-05:00,2023-12-11 19:22:00-05:00,short,16478.359105597912,16477.25,cutoff,1.11,1530,2495.24
2023-12-19 07:17:00-05:00,2023-12-19 09:31:00-05:00,short,16980.404600724352,16980.404600724352,BE,0.0,1533,2495.24
2023-12-19 10:31:00-05:00,2023-12-19 15:00:00-05:00,short,16999.357653136416,17000.25,cutoff,-0.89,1535,2494.35
2023-12-27 20:09:00-05:00,2023-12-27 20:10:00-05:00,short,17145.732745703783,17144.5,cutoff,1.23,1539,2495.58
2023-12-27 20:43:00-05:00,2023-12-27 20:44:00-05:00,short,17154.551837927178,17152.5,cutoff,2.05,1540,2497.63
2023-12-28 07:34:00-05:00,2023-12-28 08:30:00-05:00,short,17161.66111147293,17161.66111147293,BE,0.0,1537,2497.63
2023-12-29 10:48:00-05:00,2023-12-29 11:16:00-05:00,long,17003.61585585585,16952.99085585585,SL,-50.62,1542,2447.01
2024-01-02 06:27:00-05:00,2024-01-02 07:50:00-05:00,long,16886.198162072822,16842.323162072822,SL,-43.88,1540,2403.13
2024-01-03 07:35:00-05:00,2024-01-03 09:08:00-05:00,long,16606.828216044698,16606.828216044698,BE,0.0,1544,2403.13
2024-01-04 08:21:00-05:00,2024-01-04 10:49:00-05:00,long,16488.54939710143,16535.42439710143,TP,46.88,1532,2450.01
2024-01-05 00:20:00-05:00,2024-01-05 01:34:00-05:00,long,16435.46891329104,16411.84391329104,SL,-23.62,1545,2426.39
2024-01-08 10:04:00-05:00,2024-01-08 15:00:00-05:00,short,16639.231009485135,16784.5,cutoff,-145.27,1546,2281.12
2024-01-10 20:07:00-05:00,2024-01-10 20:08:00-05:00,short,16987.228593438093,16985.25,cutoff,1.98,1550,2283.1
2024-01-11 03:26:00-05:00,2024-01-11 04:09:00-05:00,short,17043.921783955302,17025.171783955302,TP,18.75,1544,2301.85
2024-01-16 03:03:00-05:00,2024-01-16 06:50:00-05:00,long,16837.32090714007,16878.94590714007,TP,41.62,1553,2343.47
2024-01-17 09:48:00-05:00,2024-01-17 15:00:00-05:00,long,16716.46127168041,16828.5,cutoff,112.04,1554,2455.51
2024-01-18 07:37:00-05:00,2024-01-18 11:32:00-05:00,short,17013.626595573453,17100.626595573453,SL,-87.0,1555,2368.51
2024-01-18 21:48:00-05:00,2024-01-18 21:49:00-05:00,short,17169.014278191687,17168.25,cutoff,0.76,1556,2369.27
2024-01-18 22:00:00-05:00,2024-01-18 22:01:00-05:00,short,17172.94383495998,17172.75,cutoff,0.19,1552,2369.46
2024-01-19 03:59:00-05:00,2024-01-19 04:49:00-05:00,short,17209.447723507175,17209.447723507175,BE,0.0,1543,2369.46
2024-01-19 05:51:00-05:00,2024-01-19 09:29:00-05:00,short,17241.52214873588,17188.64714873588,TP,52.88,1541,2422.34
2024-01-24 01:52:00-05:00,2024-01-24 04:24:00-05:00,short,17629.672967767547,17658.172967767547,SL,-28.5,1559,2393.84
2024-01-25 20:00:00-05:00,2024-01-25 20:01:00-05:00,long,17524.716559417848,17520.75,cutoff,-3.97,1560,2389.87
2024-01-31 04:15:00-05:00,2024-01-31 04:20:00-05:00,long,17406.34184385252,17365.09184385252,SL,-41.25,1563,2348.62
