level_id,side,touched_at,reason
361,lower,2019-05-31 03:53:00-04:00,sal_active
363,upper,2019-06-05 05:31:00-04:00,position_open
362,upper,2019-06-07 06:53:00-04:00,position_open
361,upper,2019-06-07 06:59:00-04:00,position_open
366,upper,2019-06-07 08:50:00-04:00,sal_active
357,upper,2019-06-07 10:34:00-04:00,sal_active
360,upper,2019-06-07 10:40:00-04:00,sal_active
358,upper,2019-06-07 10:57:00-04:00,sal_active
356,upper,2019-06-10 09:42:00-04:00,sal_active
355,upper,2019-06-10 10:06:00-04:00,sal_active
371,upper,2019-06-17 09:55:00-04:00,position_open
374,upper,2019-06-18 06:40:00-04:00,position_open
370,upper,2019-06-18 09:40:00-04:00,sal_active
378,lower,2019-06-25 10:50:00-04:00,position_open
377,upper,2019-07-03 04:55:00-04:00,sal_active
384,lower,2019-07-09 03:43:00-04:00,sal_active
388,upper,2019-07-10 08:36:00-04:00,sal_active
384,upper,2019-07-10 09:32:00-04:00,sal_active
387,upper,2019-07-10 09:48:00-04:00,sal_active
410,upper,2019-08-08 09:05:00-04:00,position_open
416,upper,2019-08-19 03:03:00-04:00,sal_active
420,lower,2019-08-23 09:50:00-04:00,position_open
425,upper,2019-08-29 09:33:00-04:00,sal_active
430,upper,2019-09-04 21:02:00-04:00,sal_active
431,upper,2019-09-04 21:29:00-04:00,sal_active
427,upper,2019-09-04 21:30:00-04:00,sal_active
420,upper,2019-09-04 21:31:00-04:00,sal_active
413,upper,2019-09-04 21:37:00-04:00,sal_active
419,upper,2019-09-04 21:51:00-04:00,sal_active
421,upper,2019-09-04 21:59:00-04:00,sal_active
428,upper,2019-09-04 22:00:00-04:00,sal_active
422,upper,2019-09-05 09:52:00-04:00,sal_active
415,upper,2019-09-05 10:00:00-04:00,sal_active
432,upper,2019-09-11 19:25:00-04:00,sal_active
433,upper,2019-09-11 19:25:00-04:00,sal_active
434,upper,2019-09-11 19:25:00-04:00,sal_active
440,upper,2019-09-19 09:32:00-04:00,position_open
441,upper,2019-09-19 09:36:00-04:00,position_open
449,lower,2019-10-02 04:44:00-04:00,sal_active
446,lower,2019-10-02 09:38:00-04:00,sal_active
431,lower,2019-10-02 09:53:00-04:00,sal_active
455,upper,2019-10-10 10:57:00-04:00,position_open
457,upper,2019-10-11 04:10:00-04:00,position_open
447,upper,2019-10-11 09:49:00-04:00,sal_active
448,upper,2019-10-11 09:49:00-04:00,sal_active
458,upper,2019-10-15 10:40:00-04:00,position_open
445,upper,2019-10-15 10:56:00-04:00,position_open
443,upper,2019-10-17 05:34:00-04:00,position_open
461,upper,2019-10-17 05:34:00-04:00,position_open
469,lower,2019-10-30 10:04:00-04:00,position_open
473,upper,2019-11-04 05:02:00-05:00,sal_active
478,upper,2019-11-12 10:20:00-05:00,position_open
475,upper,2019-11-12 10:37:00-05:00,position_open
483,upper,2019-11-18 02:17:00-05:00,sal_active
488,upper,2019-11-25 10:06:00-05:00,position_open
489,upper,2019-11-25 20:46:00-05:00,position_open
493,lower,2019-12-02 09:38:00-05:00,position_open
491,lower,2019-12-02 09:40:00-05:00,sal_active
490,lower,2019-12-02 10:00:00-05:00,sal_active
489,lower,2019-12-03 08:11:00-05:00,position_open
487,lower,2019-12-03 09:04:00-05:00,sal_active
488,lower,2019-12-03 09:06:00-05:00,sal_active
480,lower,2019-12-03 09:30:00-05:00,sal_active
481,lower,2019-12-03 09:31:00-05:00,sal_active
482,lower,2019-12-03 09:31:00-05:00,sal_active
477,lower,2019-12-03 09:48:00-05:00,sal_active
498,lower,2019-12-10 06:27:00-05:00,sal_active
501,upper,2019-12-12 09:38:00-05:00,position_open
491,upper,2019-12-12 09:39:00-05:00,position_open
500,upper,2019-12-12 09:39:00-05:00,position_open
499,upper,2019-12-12 10:00:00-05:00,sal_active
492,upper,2019-12-12 10:01:00-05:00,sal_active
493,upper,2019-12-12 10:01:00-05:00,sal_active
511,lower,2020-01-07 19:38:00-05:00,position_open
527,upper,2020-01-21 21:51:00-05:00,position_open
525,upper,2020-01-22 01:06:00-05:00,sal_active
522,lower,2020-01-27 05:12:00-05:00,position_open
520,lower,2020-01-27 05:21:00-05:00,position_open
521,lower,2020-01-27 06:00:00-05:00,position_open
519,lower,2020-01-27 09:30:00-05:00,position_open
535,upper,2020-02-04 10:40:00-05:00,sal_active
528,upper,2020-02-04 10:42:00-05:00,sal_active
542,upper,2020-02-17 00:41:00-05:00,sal_active
546,upper,2020-02-19 09:55:00-05:00,position_open
547,lower,2020-02-21 09:49:00-05:00,position_open
558,lower,2020-03-06 04:37:00-05:00,sal_active
567,upper,2020-03-20 03:44:00-04:00,position_open
569,upper,2020-03-25 04:29:00-04:00,position_open
566,upper,2020-03-25 04:47:00-04:00,position_open
570,upper,2020-03-25 05:07:00-04:00,position_open
582,upper,2020-04-14 09:34:00-04:00,sal_active
584,upper,2020-04-14 09:35:00-04:00,sal_active
590,lower,2020-04-21 09:37:00-04:00,sal_active
588,lower,2020-04-21 10:49:00-04:00,sal_active
590,upper,2020-04-28 05:26:00-04:00,position_open
595,lower,2020-04-28 10:58:00-04:00,sal_active
612,lower,2020-05-22 01:29:00-04:00,sal_active
611,lower,2020-05-27 10:49:00-04:00,position_open
616,upper,2020-06-03 10:01:00-04:00,sal_active
620,lower,2020-06-15 02:05:00-04:00,sal_active
635,upper,2020-06-23 03:16:00-04:00,position_open
627,upper,2020-06-23 03:54:00-04:00,position_open
634,upper,2020-06-23 10:42:00-04:00,position_open
637,upper,2020-07-02 08:53:00-04:00,position_open
642,upper,2020-07-06 10:00:00-04:00,sal_active
648,lower,2020-07-14 09:02:00-04:00,position_open
645,lower,2020-07-14 09:53:00-04:00,position_open
653,lower,2020-07-24 03:14:00-04:00,position_open
652,lower,2020-07-24 09:37:00-04:00,sal_active
644,lower,2020-07-24 09:38:00-04:00,sal_active
657,upper,2020-08-03 09:33:00-04:00,position_open
649,upper,2020-08-05 03:00:00-04:00,position_open
671,upper,2020-08-13 09:40:00-04:00,position_open
668,upper,2020-08-18 09:38:00-04:00,position_open
673,upper,2020-08-18 09:38:00-04:00,position_open
